"clip1_id"	"clip2_id"	"clip3_id"	"clip1_numvotes"	"clip2_numvotes"	"clip3_numvotes"	"clip1_mp3_path"	"clip2_mp3_path"	"clip3_mp3_path"
"50779"	"19859"	"36049"	"2"	"4"	"1"	"2/vito_paternoster-cd2bach_cello_suites-13-suite_v_in_do_minore__prelude-88-117.mp3"	"8/cargo_cult-vibrant-04-son_of_ambriel-30-59.mp3"	"1/phebe_craig_and_katherine_westine-beside_themselves-08-js_bach_concerto_in_c_major_for_2_harpsichords_allegro_moderato-436-465.mp3"
"5221"	"20497"	"8949"	"0"	"0"	"1"	"7/roots_of_rebellion-the_looking_glass-01-the_order-175-204.mp3"	"e/atomic_opera-penguin_dust-04-thirst-175-204.mp3"	"c/jamie_janover-now_center_of_time-02-playa-639-668.mp3"
"45584"	"8666"	"5511"	"0"	"0"	"1"	"0/rocket_city_riot-middle_age_suicide-11-everyday_like_saturday_bonus_track-30-59.mp3"	"d/drevo-christian_themes_in_ukrainian_folk_songs-02-oh_uncle_in_your_yard-146-175.mp3"	"3/emmas_mini-beat_generation_mad_trick-01-unknown-146-175.mp3"
"696"	"49895"	"47234"	"1"	"2"	"0"	"3/kiev_theological_academy_and_seminary_choir-traditional_worship_singing_of_kievpechersk_lavra-01-blessed_is_the_man-0-29.mp3"	"5/paul_beier-simone_molinaro-13-fantasia_decima-175-204.mp3"	"a/edward_martin_and_william_bastian-virtues_and_vices-11-tobacco_tobias_hume-0-29.mp3"
"23031"	"4167"	"5239"	"13"	"2"	"2"	"4/seismic_anamoly-sweet_rock_candy-05-kick_in_tha_nuts-0-29.mp3"	"3/etherfysh-box_of_fysh-01-sanctuary-552-581.mp3"	"d/rapoon-vernal_crossing-01-the_same_river_once-88-117.mp3"
"46621"	"30446"	"47738"	"17"	"7"	"18"	"e/jade_leary-fossildawn-11-retroscope-175-204.mp3"	"0/ammonite-reconnection-07-angel_hold_on___-291-320.mp3"	"b/magnatune_compilation-rock-12-cargo_cult_our_song-0-29.mp3"
"696"	"47234"	"49895"	"0"	"0"	"4"	"3/kiev_theological_academy_and_seminary_choir-traditional_worship_singing_of_kievpechersk_lavra-01-blessed_is_the_man-0-29.mp3"	"a/edward_martin_and_william_bastian-virtues_and_vices-11-tobacco_tobias_hume-0-29.mp3"	"5/paul_beier-simone_molinaro-13-fantasia_decima-175-204.mp3"
"7546"	"13981"	"28007"	"1"	"0"	"0"	"9/wicked_boy-chemistry-02-give_it_to_me-146-175.mp3"	"6/stargarden-ambient_excursions-03-mt_fuji-0-29.mp3"	"7/claire_fitch-ambiencellist_part_ii-06-mist-146-175.mp3"
"58285"	"52226"	"2634"	"7"	"5"	"14"	"d/janine_johnson-telemann_harpsichord_solos_from_der_getreue_music_meister-27-suite_gigue_pezold-117-146.mp3"	"1/jeff_wahl-guinevere-14-tristan_and_isolde-320-349.mp3"	"4/jay_kishor-the_color_of_night-01-malkauns-1480-1509.mp3"
"23857"	"20500"	"8554"	"0"	"1"	"1"	"c/vito_paternoster-cd1bach_sonatas_and_partitas_for_solo_violin-05-partita_prima_in_mi_minore__allemanda-204-233.mp3"	"4/the_wretch-cyst-04-this_is_terror-59-88.mp3"	"d/paul_avgerinos-balancing_spheres-02-night_illusions__balancing_spheres-146-175.mp3"
"43523"	"11635"	"13256"	"2"	"0"	"0"	"a/asteria-soyes_loyal-10-of_a_rose_singe_we_lute_anon-88-117.mp3"	"d/seismic_anamoly-afterburner-03-anthem_for_hcp-0-29.mp3"	"7/aba_structure-epic-03-houseboats-233-262.mp3"
"11075"	"2626"	"11839"	"1"	"3"	"4"	"1/zilla-egg-02-wicker_pilots-59-88.mp3"	"4/jay_kishor-the_color_of_night-01-malkauns-1248-1277.mp3"	"5/rapoon-cidar-03-black_feel-88-117.mp3"
"33887"	"29295"	"50200"	"2"	"0"	"0"	"b/paul_beier-alessandro_piccinini-07-toccata_xvii-175-204.mp3"	"f/rapoon-tin_of_drum-06-southbound-639-668.mp3"	"b/cargo_cult-alchemy-13-matt-0-29.mp3"
"21116"	"49590"	"2443"	"2"	"9"	"6"	"1/solace-the_gathering_season-05-aenaem-349-378.mp3"	"c/edward_martin-art_of_the_lute_in_renaissance_france-13-aupres_de_vous_sermisy-30-59.mp3"	"5/thursday_group-uncle_mean-01-like_white_on_rice-117-146.mp3"
"27326"	"38122"	"37180"	"11"	"26"	"7"	"9/the_seldon_plan-making_circles-06-holding_patterns_are_slow-175-204.mp3"	"c/rapoon-easterly_6_or_7-08-variable_2-349-378.mp3"	"c/william_brooks-fowl_mouth-08-scooter-0-29.mp3"
"35492"	"42331"	"23020"	"2"	"8"	"6"	"d/beth_quist-shall_we_dance-08-finale-291-320.mp3"	"1/richard_savino-murcia__danza_y_diferencias-10-correnta-30-59.mp3"	"7/solace-vadalna-05-khataralex_mix-59-88.mp3"
"49020"	"53375"	"5363"	"1"	"0"	"1"	"b/hanneke_van_proosdij-harpsichord_suites_of_chambonnieres-12-suite_in_g_major__menuet-0-29.mp3"	"b/janine_johnson-bach_goldberg_variations-15-variatio_14_a_2_clav-30-59.mp3"	"a/ensemble_sreteniye-ancient_church_singing_of_byzantine_georgia_and_rus-01-to_thee_we_sing_bulgarian_chant_tone_legetos-88-117.mp3"
"42344"	"53079"	"52148"	"3"	"5"	"1"	"8/jacob_heringman-josquin_des_prez_lute_settings-10-da_ripa__part_ii_per_illud_ave-59-88.mp3"	"9/the_wretch-ambulatory-15-release-146-175.mp3"	"4/tim_rayborn-the_path_beyond-14-taqsim_ud-175-204.mp3"
"35224"	"47678"	"33174"	"0"	"0"	"2"	"4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-08-domine_deus-30-59.mp3"	"7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-12-benedictus-117-146.mp3"	"c/william_brooks-fowl_mouth-07-silent_wings-204-233.mp3"
"56338"	"10625"	"6094"	"11"	"2"	"3"	"0/daniel_ben_pienaar-book_2_cd2_welltempered_clavier-20-prelude_and_fugue_no__22_in_bflat_minor_bwv_891_fuga-88-117.mp3"	"f/jackalopes-jacksploitation-02-those_great_big____memories-88-117.mp3"	"8/skitzo-hellavator_musick-02-angels_blood-117-146.mp3"
"5783"	"50307"	"40683"	"7"	"21"	"6"	"a/rhonda_lorence-winter_moon-01-winter_moon-233-262.mp3"	"e/magnatune_com-magnatune_at_the_cc_salon-13-one_at_a_time_burnshee_thornside-117-146.mp3"	"d/beth_quist-shall_we_dance-09-ritual-291-320.mp3"
"10728"	"6954"	"26234"	"1"	"0"	"1"	"7/dac_crowell-the_sea_and_the_sky-02-umi_no_kami_ni_kansha-117-146.mp3"	"e/solace-balance-02-dragon_and_sword-204-233.mp3"	"1/tim_rayborn-qadim-06-calliopeia__kithara_ancient_greek-146-175.mp3"
"13981"	"7546"	"28007"	"1"	"1"	"0"	"6/stargarden-ambient_excursions-03-mt_fuji-0-29.mp3"	"9/wicked_boy-chemistry-02-give_it_to_me-146-175.mp3"	"7/claire_fitch-ambiencellist_part_ii-06-mist-146-175.mp3"
"26625"	"47188"	"55324"	"0"	"0"	"4"	"c/domased-new_memories-06-deadly_season-465-494.mp3"	"9/wicked_boy-chemistry-11-the_theme-0-29.mp3"	"f/philharmonia_baroque_orchestra-handel__atalanta_cd2-18-recitativo_lo_vo_morir___gia_corro___-0-29.mp3"
"20805"	"13998"	"46366"	"11"	"6"	"18"	"e/tilopa-out_of_the_blue-04-wings_over_water-320-349.mp3"	"6/stargarden-ambient_excursions-03-mt_fuji-494-523.mp3"	"7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-11-osanna_in_exelsis-117-146.mp3"
"46491"	"7744"	"28319"	"0"	"0"	"3"	"7/artemis-gravity-11-prayer-233-262.mp3"	"6/mercy_machine-the_devil_i_know-02-i_need_a_new_jesus-146-175.mp3"	"2/ensemble_sreteniye___three_holies_church_choristers-dont_cry_rachael-06-open_to_me_the_doors_of_repentance_byzantine_chant_bulgarian_tradition-30-59.mp3"
"14539"	"49873"	"5223"	"0"	"0"	"1"	"d/shira_kammen-mistral-03-quand_jetais_jeune-59-88.mp3"	"b/magnatune_compilation-rock-13-emmas_mini_disconnected-204-233.mp3"	"2/jesse_manno-sea_spirits-01-the_river-0-29.mp3"
"20302"	"28479"	"35237"	"0"	"1"	"2"	"8/stargarden-music_for_modern_listening-04-termoli-30-59.mp3"	"a/liquid_zen-magic_midsummer-06-por_tus_ojos-88-117.mp3"	"f/asteria-le_souvenir_de_vous_me_tue-08-dona_gentile_lute_guillaume_dufay-59-88.mp3"
"36300"	"42175"	"49336"	"1"	"0"	"0"	"6/dj_markitos-slower_emotions138_bpm_remixes-08-love_peace_and_ecstasy_138_bpm_remix-262-291.mp3"	"c/reza_manzoori-restrung-10-breath-30-59.mp3"	"e/justin_bianco-forge-12-war-146-175.mp3"
"27871"	"43565"	"52571"	"2"	"0"	"0"	"4/dj_markitos-evolution_of_the_mind-06-losing_control-175-204.mp3"	"4/tim_rayborn-the_path_beyond-10-osman_pasha-291-320.mp3"	"7/jag-cypress_grove_blues-15-cypress_boogie-0-29.mp3"
"51816"	"2536"	"57384"	"2"	"10"	"3"	"0/paul_berget-the_siena_manuscript_on_steel_string_guitar-14-recercar_14_steel_string_guitar-88-117.mp3"	"5/processor-are_you_for_real-01-mad_bull-204-233.mp3"	"e/philharmonia_baroque_orchestra-handel__atalanta_cd1-23-recitativo_amarilli_oh_dei_qui_tirsi-30-59.mp3"
"37083"	"27985"	"15072"	"0"	"2"	"1"	"0/paul_berget-the_siena_manuscript_on_steel_string_guitar-08-recercar_8_steel_string_guitar-59-88.mp3"	"1/william_brooks-karma_dogs-06-miracle-117-146.mp3"	"4/myles_cochran-marginal_street-03-so_gone-378-407.mp3"
"27211"	"1987"	"11300"	"1"	"0"	"3"	"3/sherefe-opium-06-geldim_bir_kara_tasha-175-204.mp3"	"e/c_layne-the_sun_will_come_out_to_blind_you-01-i_dont_care_if_you_lie-146-175.mp3"	"c/lvx_nova-lvx_nova-03-kyoto_nights-639-668.mp3"
"7785"	"50207"	"38252"	"5"	"2"	"2"	"2/aba_structure-tektonik_illusion-02-illusion-233-262.mp3"	"b/cargo_cult-alchemy-13-matt-204-233.mp3"	"0/williamson-a_few_things_to_hear_before_we_all_blow_up-08-whats_on_the_ceiling_beats_whats_on_tv-291-320.mp3"
"36439"	"2295"	"20485"	"43"	"18"	"5"	"5/arthur_yoria-of_the_lovely-08-my_best_routines-117-146.mp3"	"e/tilopa-out_of_the_blue-01-kyopianosus-88-117.mp3"	"4/human_response-delirious-04-theoria-175-204.mp3"
"39639"	"6259"	"13759"	"6"	"18"	"16"	"e/jamie_janover_and_michael_masley-all_strings_considered-09-innerlude-30-59.mp3"	"e/jamie_janover_and_michael_masley-all_strings_considered-02-birds_of_mindrise-204-233.mp3"	"7/james_edwards-canarios-03-marionas__gerau-117-146.mp3"
"40792"	"18557"	"50294"	"7"	"2"	"2"	"4/john_williams-long_ride_home-09-she_walks-30-59.mp3"	"1/touchinggrace-the_reformation_sessions-04-melon_tropic_sunrise-378-407.mp3"	"2/shira_kammen-the_almanac-13-o_western_wind-59-88.mp3"
"24418"	"26551"	"52873"	"0"	"2"	"0"	"2/indidginus-seismic-05-shindormo-436-465.mp3"	"d/rapoon-vernal_crossing-06-dahina_ta-117-146.mp3"	"d/seth_and_maryse_carlin-schubert__music_for_fortepiano_four_hands-15-marche_militaire-88-117.mp3"
"37812"	"18221"	"58717"	"7"	"32"	"9"	"2/jami_sieber-lush_mechanique-08-the_darkening_ground-59-88.mp3"	"c/seismic_anamoly-ramifications-04-julies_tune-552-581.mp3"	"c/edward_martin-art_of_the_lute_in_renaissance_france-35-duel_double_duel_lupi-30-59.mp3"
"29201"	"12970"	"10292"	"2"	"0"	"1"	"3/les_filles_de_sainte_colombe-german_music_for_viols_and_harpsichord-06-sonata_viii_in_c_minor_schenck-494-523.mp3"	"7/beight-file_in_rhythm-03-fill_me_up-0-29.mp3"	"3/very_large_array-stuff-02-superdrag-146-175.mp3"
"11345"	"27917"	"51875"	"20"	"7"	"0"	"1/tanya_tomkins_and_eric_zivian-beethoven_piano_and_cello_works-03-7_variations_on_a_theme_from_the_magic_flute_in_eb_woo_46-204-233.mp3"	"b/electric_frankenstein-dead_and_back-06-make_no_mistake-30-59.mp3"	"9/the_wretch-ambulatory-14-sickness-146-175.mp3"
"27133"	"36403"	"41929"	"0"	"0"	"1"	"4/seismic_anamoly-sweet_rock_candy-06-fire_in_tha_hole-291-320.mp3"	"b/elizabeth_wolff-moments_musicaux-08-moritz_moszkowski__3_moments_musicaux_op__7__con_moto-204-233.mp3"	"4/john_williams-long_ride_home-10-admit_one-88-117.mp3"
"46681"	"16199"	"2705"	"10"	"25"	"51"	"5/paul_beier-simone_molinaro-11-rossingnolet__canzone_francese_a_quattro_di_thomas_crequillon-146-175.mp3"	"3/kitka-the_vine-03-zhuravlyky_odletily_ukraine-88-117.mp3"	"5/dj_markitos-unreachable_destiny-01-manteia-204-233.mp3"
"10715"	"16804"	"21421"	"0"	"1"	"1"	"5/stargarden-the_art_of_analog_diversion-02-trybal-262-291.mp3"	"8/mercy_machine-mercy_machine-04-bones-146-175.mp3"	"c/five_star_fall-automatic_ordinary-05-between_2_floors-204-233.mp3"
"28835"	"17708"	"13286"	"1"	"0"	"0"	"9/self_delusion-happiness_hurts_me-06-secret_life-175-204.mp3"	"1/jeff_wahl-guinevere-04-freedom-30-59.mp3"	"3/sherefe-opium-03-huzam_kamelieriko-59-88.mp3"
"15069"	"32776"	"42794"	"22"	"16"	"12"	"4/myles_cochran-marginal_street-03-so_gone-291-320.mp3"	"2/duo_chambure-vihuela_duets_of_valderrabano-07-payne_trabel_jean_mouton-59-88.mp3"	"9/etherine-gleam-10-gleam_remix-30-59.mp3"
"3450"	"48198"	"42896"	"16"	"15"	"7"	"2/maryse_carlin-rameau__pieces_de_clavecin_en_concerts__forqueray_suites_4_and_5-01-premier_concert__coulicam_rameau-30-59.mp3"	"e/magnatune_compilation-high_energy_rock_and_roll-12-jackalopes_cielo_69-59-88.mp3"	"c/william_brooks-blue_ribbon__the_best_of_william_brooks-10-hideaway-88-117.mp3"
"19353"	"36904"	"41821"	"0"	"1"	"1"	"3/etherfysh-box_of_fysh-04-rama-1132-1161.mp3"	"a/janine_johnson-chopin_recital-08-polonaise_op_44_in_f_minor-552-581.mp3"	"f/the_headroom_project-jetuton_andawai-10-late_night_blues-146-175.mp3"
"27534"	"6408"	"25167"	"1"	"1"	"0"	"a/plunkett-14_days-06-just_rise-0-29.mp3"	"d/kitka-wintersongs-02-byla_cesta_moravia-30-59.mp3"	"e/jeff_wahl-meditative_guitar-05-the_persistence_of_hope-117-146.mp3"
"24125"	"38341"	"39174"	"25"	"18"	"14"	"f/lizzi-love_and_you_and_i-05-remedy-175-204.mp3"	"f/the_headroom_project-jetuton_andawai-09-anu_de_dilaho-0-29.mp3"	"e/magnatune_compilation-high_energy_rock_and_roll-09-electric_frankenstein_new_rage-59-88.mp3"
"40226"	"41470"	"12032"	"25"	"4"	"9"	"d/drevo-christian_themes_in_ukrainian_folk_songs-09-o_did_you_learn_o_people_such_news-146-175.mp3"	"b/suzanne_teng-miles_beyond-09-tiens_lullaby-175-204.mp3"	"e/dac_crowell-within_this_space-03-cantillation-639-668.mp3"
"20213"	"448"	"33029"	"1"	"1"	"1"	"b/rob_costlow-sophomore_jinx-04-summer_garden-204-233.mp3"	"b/satori-journey_to_other_worlds-01-astral_flight-813-842.mp3"	"1/zilla-egg-07-rufus-88-117.mp3"
"28315"	"55324"	"5002"	"1"	"5"	"2"	"f/norine_braun-and_the_mood_swings-06-one_breath-146-175.mp3"	"f/philharmonia_baroque_orchestra-handel__atalanta_cd2-18-recitativo_lo_vo_morir___gia_corro___-0-29.mp3"	"4/dj_markitos-evolution_of_the_mind-01-sunset_endless_night_journey_remix-30-59.mp3"
"43707"	"12454"	"11351"	"4"	"1"	"1"	"8/justin_bianco-phoenix-10-pieces_of_every_day-59-88.mp3"	"9/suzanne_teng-enchanted_wind-03-dark_moon-494-523.mp3"	"1/tanya_tomkins_and_eric_zivian-beethoven_piano_and_cello_works-03-7_variations_on_a_theme_from_the_magic_flute_in_eb_woo_46-378-407.mp3"
"43612"	"33478"	"15969"	"0"	"0"	"1"	"8/stargarden-music_for_modern_listening-10-p5_mon_amour-175-204.mp3"	"5/stargarden-step_off-07-step_out_to_the_stars-581-610.mp3"	"1/zilla-egg-03-velvet_periscope-233-262.mp3"
"29527"	"45860"	"16281"	"15"	"7"	"21"	"c/glen_bledsoe-up_and_down-06-tango_cacafuego-146-175.mp3"	"7/rapoon-what_do_you_suppose-11-i_dont_expect_anyone-146-175.mp3"	"6/ralph_meulenbroeks-gambomania-04-sonata_in_d_minor_adagio_karl_friedrich_abel-59-88.mp3"
"20548"	"23383"	"53557"	"12"	"43"	"20"	"4/jami_sieber-second_sight-04-tree_of_love-233-262.mp3"	"8/burning_babylon-knives_to_the_treble-05-mash_up_the_dj-117-146.mp3"	"e/briddes_roune-lenten_is_come-16-brid_by_a_strem-59-88.mp3"
"21148"	"32369"	"22217"	"1"	"0"	"0"	"1/tim_rayborn-qadim-05-alevlen__saz_turkish-117-146.mp3"	"b/elizabeth_wolff-moments_musicaux-07-moritz_moszkowski__3_moments_musicaux_op__7__allegramente-30-59.mp3"	"5/curandero-aras-05-embrujada-378-407.mp3"
"6115"	"20862"	"30985"	"0"	"2"	"0"	"5/dj_markitos-unreachable_destiny-02-aquila-146-175.mp3"	"3/sherefe-opium-04-yianni_mou_to-262-291.mp3"	"f/norine_braun-and_the_mood_swings-07-cruel_streak-175-204.mp3"
"44689"	"195"	"22299"	"4"	"8"	"1"	"7/rob_costlow-woods_of_chaos-10-twilight-88-117.mp3"	"9/the_seldon_plan-making_circles-01-a_rhyming_dictionary-175-204.mp3"	"6/ed_martin-luis_milan__el_maestro-05-fantasia_5-88-117.mp3"
"78"	"7807"	"35976"	"8"	"0"	"1"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1132-1161.mp3"	"0/solace-iman-02-iman-146-175.mp3"	"8/mercy_machine-in_your_bed__the_remixes-08-invisible_cosmic_sea_shanty_mix-262-291.mp3"
"49311"	"49514"	"21556"	"1"	"0"	"1"	"a/janine_johnson-chopin_recital-12-valse_brilliante_op_18_in_eb_major-146-175.mp3"	"1/tim_rayborn-qadim-13-amniat__robab_afghan-59-88.mp3"	"a/james_edwards-le_tresor_dorphee_by_antoine_francisque-05-branle_simple_a_cordes_avalees_troisiesme-30-59.mp3"
"21806"	"43720"	"27879"	"11"	"4"	"4"	"b/philharmonia_baroque-mozart_orchestral_works-05-concerto_for_flute_and_harp_in_c_major_kv299_allegro-175-204.mp3"	"5/arthur_yoria-suerte_something-10-places_everyone-59-88.mp3"	"5/mrdc-plethora-06-lostcode-88-117.mp3"
"36308"	"49254"	"57299"	"0"	"0"	"1"	"2/version-versions-08-love_redux-117-146.mp3"	"e/burning_babylon-stereo_mash_up-12-trouble_dub-59-88.mp3"	"3/jag-four_strings-23-four_string_blues-30-59.mp3"
"37286"	"26497"	"39679"	"8"	"0"	"3"	"2/claire_fitch-ambiencellist-08-shortest_day-59-88.mp3"	"b/lisa_debenedictis-mixter_one-06-cuckoo_passiveaggressive_mix_by_hisboyelroy-146-175.mp3"	"0/william_brooks-bitter_circus-09-is_there_anybody_there-59-88.mp3"
"45485"	"8259"	"37965"	"76"	"18"	"14"	"2/magnatune_compilation-electronica-11-dj_markitos_interplanetary_travel-146-175.mp3"	"9/the_seldon_plan-making_circles-02-making_circles-117-146.mp3"	"f/pain_factor-8_seconds-08-thin_line-204-233.mp3"
"33237"	"39060"	"50855"	"8"	"7"	"14"	"4/dj_cary-downtempo_chill_2-07-son_of_ambriel_cargo_cult-0-29.mp3"	"c/liquid_zen-oscilloscope-09-dense_properties-262-291.mp3"	"b/richard_savino-mertz__bardic_sounds-13-tarantella-204-233.mp3"
"37661"	"52495"	"6809"	"15"	"21"	"26"	"1/zilla-egg-08-sun_of_many_maps-291-320.mp3"	"b/richard_savino-mertz__bardic_sounds-15-childrens_fairy_tale-320-349.mp3"	"2/roots_of_rebellion-surfacing-02-declaration-233-262.mp3"
"51628"	"19583"	"44622"	"3"	"6"	"4"	"d/shiva_in_exile-ethnic-14-myingmar-581-610.mp3"	"d/tim_rayborn-chordae-04-sempr_alegria-639-668.mp3"	"d/various_artists-the_art_of_persuasion-10-touch_ammonite-175-204.mp3"
"23034"	"2003"	"56164"	"2"	"0"	"0"	"4/seismic_anamoly-sweet_rock_candy-05-kick_in_tha_nuts-88-117.mp3"	"a/tilopa-pictures_of_silence-01-ichi-146-175.mp3"	"9/janine_johnson-german_keyboard_masters-20-ciacona_in_e_buxtehude-88-117.mp3"
"3892"	"28337"	"54954"	"1"	"1"	"2"	"5/sitar-first_congregational_church_concert-01-raga_patdeep__alap__jay_kishor-871-900.mp3"	"6/the_kokoon-erase-06-order-59-88.mp3"	"b/janine_johnson-bach_goldberg_variations-17-variatio_16_a_1_clav_ouverture-0-29.mp3"
"54283"	"29638"	"54881"	"0"	"2"	"0"	"e/philharmonia_baroque_orchestra-handel__atalanta_cd1-17-aria_riportai_glorioso_palma-88-117.mp3"	"b/liquid_zen-elements_at_loop_10-06-the_surface-0-29.mp3"	"6/doc_rossi-demarzi6_sonatas_for_cetra_o_kitara-17-the_orange_rogue_trad__arr__rossi-117-146.mp3"
"8781"	"31387"	"38170"	"5"	"3"	"5"	"c/rapoon-easterly_6_or_7-02-our_tresspasses-175-204.mp3"	"7/aba_structure-epic-07-erased-755-784.mp3"	"5/cheryl_ann_fulton-the_once_and_future_harp-08-virgin_light-0-29.mp3"
"45713"	"41781"	"25493"	"14"	"4"	"4"	"7/beight-file_in_rhythm-11-ghostly_feeling-88-117.mp3"	"7/monoide-zeitpunkt-09-zeitpunkt-204-233.mp3"	"6/drop_trio-cezanne-05-wreck_of_the_zephyr-407-436.mp3"
"1224"	"7261"	"15290"	"1"	"3"	"2"	"4/human_response-delirious-01-delirious-291-320.mp3"	"1/richard_savino-murcia__danza_y_diferencias-02-fandango-117-146.mp3"	"9/domased-slowdown-03-sound_of_ambient_part_1-175-204.mp3"
"36741"	"14366"	"27047"	"24"	"21"	"21"	"b/rebel_rebel-explode_into_space-08-our_time_is_now-30-59.mp3"	"9/vito_paternoster-cd2bach_sonatas_and_partitas_for_solo_violin-03-partita_seconda_in_sol_minore__sarabanda-117-146.mp3"	"c/rapoon-easterly_6_or_7-06-falling_more_slowly-204-233.mp3"
"20288"	"8922"	"37692"	"1"	"5"	"3"	"9/introspekt-ideology-04-tbd-262-291.mp3"	"f/lisa_debenedictis-fruitless-02-planet_you-88-117.mp3"	"7/solace-rhythm_of_the_dance-08-sword_dance_routine-204-233.mp3"
"2634"	"52226"	"58285"	"7"	"11"	"12"	"4/jay_kishor-the_color_of_night-01-malkauns-1480-1509.mp3"	"1/jeff_wahl-guinevere-14-tristan_and_isolde-320-349.mp3"	"d/janine_johnson-telemann_harpsichord_solos_from_der_getreue_music_meister-27-suite_gigue_pezold-117-146.mp3"
"32158"	"26800"	"25154"	"0"	"1"	"1"	"6/norine_braun-miles_to_go-07-little_lamb-88-117.mp3"	"9/indidginus-sine_language-06-dubliminal-146-175.mp3"	"2/shira_kammen-the_almanac-05-the_leaves_be_green-0-29.mp3"
